=== Umbra Scalability Log for borrow on borrow (4 CPUs) ===
INFO:    [s] execution: (0.000008 min, 0.000008 max, 0.000008 median, 0.0% relMAD, 0.000008 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000115 min, 0.000115 max, 0.000115 median, 0.0% relMAD, 0.000115 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000006 min, 0.000006 max, 0.000006 median, 0.0% relMAD, 0.000006 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000003 min, 0.000003 max, 0.000003 median, 0.0% relMAD, 0.000003 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000003 min, 0.000003 max, 0.000003 median, 0.0% relMAD, 0.000003 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000003 min, 0.000003 max, 0.000003 median, 0.0% relMAD, 0.000003 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000003 min, 0.000003 max, 0.000003 median, 0.0% relMAD, 0.000003 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000003 min, 0.000003 max, 0.000003 median, 0.0% relMAD, 0.000003 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000003 min, 0.000003 max, 0.000003 median, 0.0% relMAD, 0.000003 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000003 min, 0.000003 max, 0.000003 median, 0.0% relMAD, 0.000003 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000003 min, 0.000003 max, 0.000003 median, 0.0% relMAD, 0.000003 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000003 min, 0.000003 max, 0.000003 median, 0.0% relMAD, 0.000003 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000003 min, 0.000003 max, 0.000003 median, 0.0% relMAD, 0.000003 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000002 min, 0.000002 max, 0.000002 median, 0.0% relMAD, 0.000002 avg, 0.000000 sdev)
INFO:    [s] execution: (0.000001 min, 0.000001 max, 0.000001 median, 0.0% relMAD, 0.000001 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000004 min, 0.000004 max, 0.000004 median, 0.0% relMAD, 0.000004 avg, 0.000000 sdev)
INFO:    [s] execution: (0.003789 min, 0.003789 max, 0.003789 median, 0.0% relMAD, 0.003789 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000182 min, 0.000182 max, 0.000182 median, 0.0% relMAD, 0.000182 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010460 min, 0.010460 max, 0.010460 median, 0.0% relMAD, 0.010460 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000038 min, 0.000038 max, 0.000038 median, 0.0% relMAD, 0.000038 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010475 min, 0.010475 max, 0.010475 median, 0.0% relMAD, 0.010475 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000026 min, 0.000026 max, 0.000026 median, 0.0% relMAD, 0.000026 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010479 min, 0.010479 max, 0.010479 median, 0.0% relMAD, 0.010479 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000024 min, 0.000024 max, 0.000024 median, 0.0% relMAD, 0.000024 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010531 min, 0.010531 max, 0.010531 median, 0.0% relMAD, 0.010531 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000029 min, 0.000029 max, 0.000029 median, 0.0% relMAD, 0.000029 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010389 min, 0.010389 max, 0.010389 median, 0.0% relMAD, 0.010389 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000026 min, 0.000026 max, 0.000026 median, 0.0% relMAD, 0.000026 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010570 min, 0.010570 max, 0.010570 median, 0.0% relMAD, 0.010570 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000027 min, 0.000027 max, 0.000027 median, 0.0% relMAD, 0.000027 avg, 0.000000 sdev)
INFO:    [s] execution: (0.013038 min, 0.013038 max, 0.013038 median, 0.0% relMAD, 0.013038 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000026 min, 0.000026 max, 0.000026 median, 0.0% relMAD, 0.000026 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010444 min, 0.010444 max, 0.010444 median, 0.0% relMAD, 0.010444 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000059 min, 0.000059 max, 0.000059 median, 0.0% relMAD, 0.000059 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010487 min, 0.010487 max, 0.010487 median, 0.0% relMAD, 0.010487 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000021 min, 0.000021 max, 0.000021 median, 0.0% relMAD, 0.000021 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010470 min, 0.010470 max, 0.010470 median, 0.0% relMAD, 0.010470 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000115 min, 0.000115 max, 0.000115 median, 0.0% relMAD, 0.000115 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010469 min, 0.010469 max, 0.010469 median, 0.0% relMAD, 0.010469 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000078 min, 0.000078 max, 0.000078 median, 0.0% relMAD, 0.000078 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010440 min, 0.010440 max, 0.010440 median, 0.0% relMAD, 0.010440 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000143 min, 0.000143 max, 0.000143 median, 0.0% relMAD, 0.000143 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010330 min, 0.010330 max, 0.010330 median, 0.0% relMAD, 0.010330 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000157 min, 0.000157 max, 0.000157 median, 0.0% relMAD, 0.000157 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010363 min, 0.010363 max, 0.010363 median, 0.0% relMAD, 0.010363 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000206 min, 0.000206 max, 0.000206 median, 0.0% relMAD, 0.000206 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010475 min, 0.010475 max, 0.010475 median, 0.0% relMAD, 0.010475 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000217 min, 0.000217 max, 0.000217 median, 0.0% relMAD, 0.000217 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010400 min, 0.010400 max, 0.010400 median, 0.0% relMAD, 0.010400 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000192 min, 0.000192 max, 0.000192 median, 0.0% relMAD, 0.000192 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010402 min, 0.010402 max, 0.010402 median, 0.0% relMAD, 0.010402 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000199 min, 0.000199 max, 0.000199 median, 0.0% relMAD, 0.000199 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010494 min, 0.010494 max, 0.010494 median, 0.0% relMAD, 0.010494 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000195 min, 0.000195 max, 0.000195 median, 0.0% relMAD, 0.000195 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010452 min, 0.010452 max, 0.010452 median, 0.0% relMAD, 0.010452 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000209 min, 0.000209 max, 0.000209 median, 0.0% relMAD, 0.000209 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010448 min, 0.010448 max, 0.010448 median, 0.0% relMAD, 0.010448 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000216 min, 0.000216 max, 0.000216 median, 0.0% relMAD, 0.000216 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010299 min, 0.010299 max, 0.010299 median, 0.0% relMAD, 0.010299 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000403 min, 0.000403 max, 0.000403 median, 0.0% relMAD, 0.000403 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010220 min, 0.010220 max, 0.010220 median, 0.0% relMAD, 0.010220 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000362 min, 0.000362 max, 0.000362 median, 0.0% relMAD, 0.000362 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010157 min, 0.010157 max, 0.010157 median, 0.0% relMAD, 0.010157 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000521 min, 0.000521 max, 0.000521 median, 0.0% relMAD, 0.000521 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010321 min, 0.010321 max, 0.010321 median, 0.0% relMAD, 0.010321 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000383 min, 0.000383 max, 0.000383 median, 0.0% relMAD, 0.000383 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010151 min, 0.010151 max, 0.010151 median, 0.0% relMAD, 0.010151 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000514 min, 0.000514 max, 0.000514 median, 0.0% relMAD, 0.000514 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010054 min, 0.010054 max, 0.010054 median, 0.0% relMAD, 0.010054 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000542 min, 0.000542 max, 0.000542 median, 0.0% relMAD, 0.000542 avg, 0.000000 sdev)
INFO:    [s] execution: (0.010011 min, 0.010011 max, 0.010011 median, 0.0% relMAD, 0.010011 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000621 min, 0.000621 max, 0.000621 median, 0.0% relMAD, 0.000621 avg, 0.000000 sdev)
INFO:    [s] execution: (0.009913 min, 0.009913 max, 0.009913 median, 0.0% relMAD, 0.009913 avg, 0.000000 sdev, 1 scale, nan IPC, nan CPUs, nan GHz) compilation: (0.000778 min, 0.000778 max, 0.000778 median, 0.0% relMAD, 0.000778 avg, 0.000000 sdev)
